1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,Day,Group,Day.1,Total
0,0,0,7,0,0,0,0,0,0,0,0,27,14,66,78,0,0,0,0,0,33,0,0,0,0,0,23,0,6,0,0,0,14,212,0,6,0,131,134,21,8,0,7,0,0,21,23,106,10,0,18,0,0,57,81,0,0,0,0,12,40,5,0,32,4,9,0,56,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,School,Tuesday,1279
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0,27,55,15,24,226,0,0,0,13,0,0,0,0,71,105,0,91,99,7,4,0,0,6,0,6,0,290,292,82,36,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,177,708,87,0,0,19,160,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,School,Wednesday,2696
0,0,0,0,0,0,0,0,0,0,0,0,22,32,105,0,0,0,0,0,0,54,15,30,26,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,7,0,7,8,0,0,15,15,0,0,19,13,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,59,School,Thursday,489
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,92,99,0,0,0,0,96,12,0,0,70,4,0,17,0,25,209,147,6,96,83,60,42,94,0,18,0,0,10,7,287,261,11,0,4,0,0,0,0,4,11,0,86,0,28,0,0,4,0,7,0,0,0,0,0,0,0,9,0,0,5,10,0,0,0,0,0,15,0,0,0,60,School,Friday,1939
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,39,28,0,21,0,85,0,59,8,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,School.W,Saturday,319
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,188,36,0,0,0,61,0,0,82,4,54,0,0,20,155,9,177,95,65,1,0,0,0,0,0,0,0,70,0,7,65,9,17,34,12,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,School,Monday,1234
0,0,0,0,0,0,0,0,0,0,0,19,0,27,4,87,0,0,0,0,0,110,8,0,0,0,0,113,0,7,0,0,0,0,101,48,0,6,0,69,0,88,7,97,0,0,0,0,183,0,89,149,0,87,163,32,0,0,0,42,25,0,25,6,31,0,8,0,0,0,8,0,0,4,0,12,15,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,64,School,Tuesday,1690
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,10,26,6,0,47,181,0,0,0,4,8,0,0,67,6,15,31,0,38,8,23,0,9,19,31,17,47,109,0,0,0,0,104,9,0,0,6,19,0,30,6,46,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,School,Wednesday,1073
0,0,0,0,0,0,0,0,0,0,0,0,0,16,110,184,0,0,0,0,0,116,0,0,7,0,0,40,24,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,159,81,0,0,0,0,46,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,66,School,Thursday,835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,44,23,0,103,0,0,0,0,104,0,0,87,7,0,27,37,1,0,18,92,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,76,0,69,0,34,0,0,0,17,0,0,7,0,0,22,4,61,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,School,Friday,962
0,0,0,0,0,0,0,0,0,0,0,48,0,99,55,0,99,38,15,0,29,57,41,152,202,89,231,184,171,32,59,0,0,30,38,6,76,46,27,52,119,57,185,199,157,330,229,227,25,6,0,0,8,76,0,32,12,0,0,0,0,54,0,0,9,50,0,0,0,0,59,0,5,8,0,0,17,26,54,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,School.W,Saturday,3838
